context_3,context_2,context_1,response
"Неужели в Шерпе нет активности открыть страницу в ранее открытом браузере, а только открыть новый, или использовать JS код?
Речь про обычный, не скрытый браузер",это не подходит?,"Нет, это не то. Там нет возможности указать идентификатор браузера, через который работаем.
Это для того, что бы не создавать новый, а присоединиться к уже открытому браузеру
Ппц. открыл пример из списка встроенных (Get Auto.ru.sherpa), там открытие URL идет через взаимодействие через поле адреса страницы, через селекторы I.TextInput__clear.TextInput__clear_visible
уж лучше JS использовать тогда..
Похоже, что там они просто открывают новую копию браузера всякий раз. Упоминание о селекторах похоже, связано с активностью на странице, через ее объекты
У меня почему-то активность ""Извлечь данные"" со страницы возвращает только данные про отзывам только  1й страницы, отзывы по остальным страницам отсутствуют в выходной таблице.. Хотя активность листания на следующую страницу отрабатывает нормально.. 
У кого-нибудь получилось эта активность без моей проблемы?
Похоже, я напутал с выбором кнопки ""след"" страница. В днс она работает не так, как я думал",Логин-пароль ко оркестратору Sherpa
,,,"Коллеги, кто уже проснулся, привет! Кто-нибудь может запустить своего pix agenta, чтобы мне попробовать на нескольких агентах задачи запустить?"
,,"Коллеги, кто уже проснулся, привет! Кто-нибудь может запустить своего pix agenta, чтобы мне попробовать на нескольких агентах задачи запустить?",могу
,,,"Отлично
Прошу Вас"
,,,Я увижу в Мастере
,,Я увижу в Мастере,отработал
,,,"я тоже могу, пару минут"
,,"я тоже могу, пару минут","вижу! спасибо
Да, Артем, спасибо"
,"я тоже могу, пару минут","вижу! спасибо
Да, Артем, спасибо",запустил
"я тоже могу, пару минут","вижу! спасибо
Да, Артем, спасибо",запустил,ArtShenbergW11 спит пока.
"вижу! спасибо
Да, Артем, спасибо",запустил,ArtShenbergW11 спит пока.,"ArtShenberg
второй на виртуалке, ее пока не могу запустить - памяти не хватит"
запустил,ArtShenbergW11 спит пока.,"ArtShenberg
второй на виртуалке, ее пока не могу запустить - памяти не хватит","Пока хватит. Спасибо
ДА, все понял"
ArtShenbergW11 спит пока.,"ArtShenberg
второй на виртуалке, ее пока не могу запустить - памяти не хватит","Пока хватит. Спасибо
ДА, все понял","Павел, я правильно понял, что моего агент не видно в работающих?
сам не могу сейчас в мастера зайти"
"ArtShenberg
второй на виртуалке, ее пока не могу запустить - памяти не хватит","Пока хватит. Спасибо
ДА, все понял","Павел, я правильно понял, что моего агент не видно в работающих?
сам не могу сейчас в мастера зайти",Видно
"Пока хватит. Спасибо
ДА, все понял","Павел, я правильно понял, что моего агент не видно в работающих?
сам не могу сейчас в мастера зайти",Видно,ок
"Павел, я правильно понял, что моего агент не видно в работающих?
сам не могу сейчас в мастера зайти",Видно,ок,"А, Артем
Момент
не видно
ArtShenbergW11
только такой агент - бездействует"
Видно,ок,"А, Артем
Момент
не видно
ArtShenbergW11
только такой агент - бездействует","там второй есть - ArtShenberg
или уже нет?
хотя подключился"
ок,"А, Артем
Момент
не видно
ArtShenbergW11
только такой агент - бездействует","там второй есть - ArtShenberg
или уже нет?
хотя подключился","нет такого агента
Может у Вас группа отдельная заведена?"
"А, Артем
Момент
не видно
ArtShenbergW11
только такой агент - бездействует","там второй есть - ArtShenberg
или уже нет?
хотя подключился","нет такого агента
Может у Вас группа отдельная заведена?",в нашей июльской должен быть
"там второй есть - ArtShenberg
или уже нет?
хотя подключился","нет такого агента
Может у Вас группа отдельная заведена?",в нашей июльской должен быть,"В общем нет
Я вопрос в общем свой решил. Спасибо"
"нет такого агента
Может у Вас группа отдельная заведена?",в нашей июльской должен быть,"В общем нет
Я вопрос в общем свой решил. Спасибо",а данные для входа в мастер еще актуальны? те что были для задания
в нашей июльской должен быть,"В общем нет
Я вопрос в общем свой решил. Спасибо",а данные для входа в мастер еще актуальны? те что были для задания,нет. Уже нет
"В общем нет
Я вопрос в общем свой решил. Спасибо",а данные для входа в мастер еще актуальны? те что были для задания,нет. Уже нет,"тогда ладно, не буду мучить
Может кто-нибудь подсказать по парсингу? В хелпруме желательно"
,,,Иду
,,Иду,все заработало
,,,"Кто может подсказать по передаче значений между скриптами зайдите в help room1
🤝"
,,"Кто может подсказать по передаче значений между скриптами зайдите в help room1
🤝",На завтра диплом
,"Кто может подсказать по передаче значений между скриптами зайдите в help room1
🤝",На завтра диплом,"Интересное видео.
Жаль на участке с 36.41 по 40.17 отвалился интернет у кого-то и не видно и не слышно
PiX Process Studio +ChatGPT встроенная  - бомба !!! Очень полезное решение при моделировании базовой версии процесса и изучения предложений от ИИ
Когда дают задание - спроектировать и автоматизировать процесс ""Закупки для ТЦ"" или ""Маркетинговые мероприятия в ТЦ"", то идеально сразу предложить варианты процессов от ИИ. Таким образом процесс сразу становится более зрелым и содержит не 2-3 статуса, а сразу 10 с ответвлениями и вариациями путей движения токена. Молодцы"
"Кто может подсказать по передаче значений между скриптами зайдите в help room1
🤝",На завтра диплом,"Интересное видео.
Жаль на участке с 36.41 по 40.17 отвалился интернет у кого-то и не видно и не слышно
PiX Process Studio +ChatGPT встроенная  - бомба !!! Очень полезное решение при моделировании базовой версии процесса и изучения предложений от ИИ
Когда дают задание - спроектировать и автоматизировать процесс ""Закупки для ТЦ"" или ""Маркетинговые мероприятия в ТЦ"", то идеально сразу предложить варианты процессов от ИИ. Таким образом процесс сразу становится более зрелым и содержит не 2-3 статуса, а сразу 10 с ответвлениями и вариациями путей движения токена. Молодцы","А если посмотреть этот объект в среде PIX в отладке? Его свойства. Перед записью в Excel значений, которые видны  в столбце А, было применено преобразование в текст .ToString()?"
На завтра диплом,"Интересное видео.
Жаль на участке с 36.41 по 40.17 отвалился интернет у кого-то и не видно и не слышно
PiX Process Studio +ChatGPT встроенная  - бомба !!! Очень полезное решение при моделировании базовой версии процесса и изучения предложений от ИИ
Когда дают задание - спроектировать и автоматизировать процесс ""Закупки для ТЦ"" или ""Маркетинговые мероприятия в ТЦ"", то идеально сразу предложить варианты процессов от ИИ. Таким образом процесс сразу становится более зрелым и содержит не 2-3 статуса, а сразу 10 с ответвлениями и вариациями путей движения токена. Молодцы","А если посмотреть этот объект в среде PIX в отладке? Его свойства. Перед записью в Excel значений, которые видны  в столбце А, было применено преобразование в текст .ToString()?",на ToString не реагирует
"Интересное видео.
Жаль на участке с 36.41 по 40.17 отвалился интернет у кого-то и не видно и не слышно
PiX Process Studio +ChatGPT встроенная  - бомба !!! Очень полезное решение при моделировании базовой версии процесса и изучения предложений от ИИ
Когда дают задание - спроектировать и автоматизировать процесс ""Закупки для ТЦ"" или ""Маркетинговые мероприятия в ТЦ"", то идеально сразу предложить варианты процессов от ИИ. Таким образом процесс сразу становится более зрелым и содержит не 2-3 статуса, а сразу 10 с ответвлениями и вариациями путей движения токена. Молодцы","А если посмотреть этот объект в среде PIX в отладке? Его свойства. Перед записью в Excel значений, которые видны  в столбце А, было применено преобразование в текст .ToString()?",на ToString не реагирует,"А левее через имеющиеся методы можно обратиться к самому объекту?
или присвоить новой переменной конкретный объект и отладчиком посмотреть его свойства
а свойство переменной стринг?
тип
получилось?"
"А если посмотреть этот объект в среде PIX в отладке? Его свойства. Перед записью в Excel значений, которые видны  в столбце А, было применено преобразование в текст .ToString()?",на ToString не реагирует,"А левее через имеющиеся методы можно обратиться к самому объекту?
или присвоить новой переменной конкретный объект и отладчиком посмотреть его свойства
а свойство переменной стринг?
тип
получилось?","это в 1С так выводит
нет"
на ToString не реагирует,"А левее через имеющиеся методы можно обратиться к самому объекту?
или присвоить новой переменной конкретный объект и отладчиком посмотреть его свойства
а свойство переменной стринг?
тип
получилось?","это в 1С так выводит
нет","тип переменной, которой был присвоен один элемент таблицы какой? строка, или другой?
похоже, что в таблицу данные заносятся таким методом, который вместо значения (фио) подставляет его тип
надо смотреть, как попадают в таблицу данные
(в таблицу PIX)"
"А левее через имеющиеся методы можно обратиться к самому объекту?
или присвоить новой переменной конкретный объект и отладчиком посмотреть его свойства
а свойство переменной стринг?
тип
получилось?","это в 1С так выводит
нет","тип переменной, которой был присвоен один элемент таблицы какой? строка, или другой?
похоже, что в таблицу данные заносятся таким методом, который вместо значения (фио) подставляет его тип
надо смотреть, как попадают в таблицу данные
(в таблицу PIX)",похоже это в 1с нужно ковырять
"это в 1С так выводит
нет","тип переменной, которой был присвоен один элемент таблицы какой? строка, или другой?
похоже, что в таблицу данные заносятся таким методом, который вместо значения (фио) подставляет его тип
надо смотреть, как попадают в таблицу данные
(в таблицу PIX)",похоже это в 1с нужно ковырять,"можно показать, как данные заносятся в таблицу?
или это результат какой-то активности  обращения к 1с?
Это query к 1с?"
"тип переменной, которой был присвоен один элемент таблицы какой? строка, или другой?
похоже, что в таблицу данные заносятся таким методом, который вместо значения (фио) подставляет его тип
надо смотреть, как попадают в таблицу данные
(в таблицу PIX)",похоже это в 1с нужно ковырять,"можно показать, как данные заносятся в таблицу?
или это результат какой-то активности  обращения к 1с?
Это query к 1с?",🤯
похоже это в 1с нужно ковырять,"можно показать, как данные заносятся в таблицу?
или это результат какой-то активности  обращения к 1с?
Это query к 1с?",🤯,"у свойства Сотрудник есть подсвойство ? т.е. можно не просто сотрудника, а сотрудник.Name получить отдельно?
т.е. запросить отдельно 3 поля для Ф. И. О."
"можно показать, как данные заносятся в таблицу?
или это результат какой-то активности  обращения к 1с?
Это query к 1с?",🤯,"у свойства Сотрудник есть подсвойство ? т.е. можно не просто сотрудника, а сотрудник.Name получить отдельно?
т.е. запросить отдельно 3 поля для Ф. И. О.",ОК понял счас попробую СПС)))
,,,пожалуйста
,,пожалуйста,
,,,Ура))))
,,Ура)))),"может кто-то может помочь разобраться с оркестратором шерпы?
жду в хелп рум 2"
,Ура)))),"может кто-то может помочь разобраться с оркестратором шерпы?
жду в хелп рум 2",Может кто нибудь напомнить где посмотреть записи выступлений? Я то что то я подзабыл
Ура)))),"может кто-то может помочь разобраться с оркестратором шерпы?
жду в хелп рум 2",Может кто нибудь напомнить где посмотреть записи выступлений? Я то что то я подзабыл,На сайте академии rpa2
"может кто-то может помочь разобраться с оркестратором шерпы?
жду в хелп рум 2",Может кто нибудь напомнить где посмотреть записи выступлений? Я то что то я подзабыл,На сайте академии rpa2,вроде это
Может кто нибудь напомнить где посмотреть записи выступлений? Я то что то я подзабыл,На сайте академии rpa2,вроде это,"Добрый день, товарищи! Кто у машин сидит, Прошу запустите своих PIX агентов. Мне для задачек в Master. У вас сообщений не будет о выполнении задач.
Заранее благодарю"
На сайте академии rpa2,вроде это,"Добрый день, товарищи! Кто у машин сидит, Прошу запустите своих PIX агентов. Мне для задачек в Master. У вас сообщений не будет о выполнении задач.
Заранее благодарю",у меня запущен
вроде это,"Добрый день, товарищи! Кто у машин сидит, Прошу запустите своих PIX агентов. Мне для задачек в Master. У вас сообщений не будет о выполнении задач.
Заранее благодарю",у меня запущен,"Запустил, без ""W11"". Если его не видно, сорри, не могу залогиниться сейчас"
"Добрый день, товарищи! Кто у машин сидит, Прошу запустите своих PIX агентов. Мне для задачек в Master. У вас сообщений не будет о выполнении задач.
Заранее благодарю",у меня запущен,"Запустил, без ""W11"". Если его не видно, сорри, не могу залогиниться сейчас",+++++
у меня запущен,"Запустил, без ""W11"". Если его не видно, сорри, не могу залогиниться сейчас",+++++,не один раз
"Запустил, без ""W11"". Если его не видно, сорри, не могу залогиниться сейчас",+++++,не один раз,"Павел, почта в мастере настроена?"
+++++,не один раз,"Павел, почта в мастере настроена?","Все хорошо, Сергей!
Другую задачу запущу, чтобы без сообщений у Вас
Через Артемин агент отлично все работает."
,,,Прошу не останавливайте агентов на время нашего сегодняшнего выступления. Хочу из юзать
,,Прошу не останавливайте агентов на время нашего сегодняшнего выступления. Хочу из юзать,да они есть не просят пока :)
,,,"может кто сталкивался с такой ошибкой
при выгрузки проекта в мастер
выдает ошибку"
,,"может кто сталкивался с такой ошибкой
при выгрузки проекта в мастер
выдает ошибку","Если это происходит из студии, то стоит попробовать отключить и заново включить подключение студии к мастеру"
,"может кто сталкивался с такой ошибкой
при выгрузки проекта в мастер
выдает ошибку","Если это происходит из студии, то стоит попробовать отключить и заново включить подключение студии к мастеру","понял
попробую"
"может кто сталкивался с такой ошибкой
при выгрузки проекта в мастер
выдает ошибку","Если это происходит из студии, то стоит попробовать отключить и заново включить подключение студии к мастеру","понял
попробую","+впн отрубить, если включен
Как вариант, вручную загрузить архив проекта в мастере, если нужен быстрый результат"
"Если это происходит из студии, то стоит попробовать отключить и заново включить подключение студии к мастеру","понял
попробую","+впн отрубить, если включен
Как вариант, вручную загрузить архив проекта в мастере, если нужен быстрый результат","перезапустил мастера
и все заработало
спасибо)"
"понял
попробую","+впн отрубить, если включен
Как вариант, вручную загрузить архив проекта в мастере, если нужен быстрый результат","перезапустил мастера
и все заработало
спасибо)",👍
,,,У кого есть желание потренить ораторство))
,,У кого есть желание потренить ораторство)),Готов часов в 18 по МСК.
,,,"👌 я готов в любое время, пишите. прочитаю зайду в дискорд))))"
,,"👌 я готов в любое время, пишите. прочитаю зайду в дискорд))))","может кто-то может подсказать по поводу оркестратора pix
?
жду в хелп рум"
,,,"Столкнулся с такой проблемой:
При заполнении файла Excel с помощью активности ""Записать в ячейку"" формулы на листе не пересчитываются, при этом в параметрах вычислений установлено ""Автоматически""."
,,"Столкнулся с такой проблемой:
При заполнении файла Excel с помощью активности ""Записать в ячейку"" формулы на листе не пересчитываются, при этом в параметрах вычислений установлено ""Автоматически"".",Была такая проблема при решении задач на этапе конкурса. Похоже это эффект при несоответствии типа вставляемых данных и типа значения ячейки (числовые-текстовые)..
,,,Можно симитировать нажатие F9 в окне эксел
,,Можно симитировать нажатие F9 в окне эксел,"Не помогает.
C Excel хорошо знаком, такие элементарные вещи сразу переппробовал))"
,,,"На данный момент помогают только костыльные решения, например:
Копирование листа,
Удаление строки,
Вставка формулой (но тут косяк с открытием книги появляется)"
,,"На данный момент помогают только костыльные решения, например:
Копирование листа,
Удаление строки,
Вставка формулой (но тут косяк с открытием книги появляется)",F9 проще
,"На данный момент помогают только костыльные решения, например:
Копирование листа,
Удаление строки,
Вставка формулой (но тут косяк с открытием книги появляется)",F9 проще,"работаю через PIX
Причём, если руками заполнять, то формулы пересчитываются...
Если кто сталкивался с такой проблемой напишите
Double вставляю в числовой тип ячейки
какие типы применяли?"
"На данный момент помогают только костыльные решения, например:
Копирование листа,
Удаление строки,
Вставка формулой (но тут косяк с открытием книги появляется)",F9 проще,"работаю через PIX
Причём, если руками заполнять, то формулы пересчитываются...
Если кто сталкивался с такой проблемой напишите
Double вставляю в числовой тип ячейки
какие типы применяли?","не знаю как на других версиях Excel, на 2016 даже если верный тип вводить, не обновляет
этот же документ в GoogleSheets обновляет формулы без проблем
возможно стоит попробовать Excel interop активности"
F9 проще,"работаю через PIX
Причём, если руками заполнять, то формулы пересчитываются...
Если кто сталкивался с такой проблемой напишите
Double вставляю в числовой тип ячейки
какие типы применяли?","не знаю как на других версиях Excel, на 2016 даже если верный тип вводить, не обновляет
этот же документ в GoogleSheets обновляет формулы без проблем
возможно стоит попробовать Excel interop активности",да именно 2016
,,,с interop думаю не вариант из-за подхода
,,с interop думаю не вариант из-за подхода,"а в чем собственно проблема с interop? ставим 'Видимый' false и не замечаем разницы от обычной активности
+ приводить типы не надо, там всегда запись в виде строки"
,,,У меня значение в нехорошей ячейке преобразовывалось в нормальный тип когда нажимаешь по ней F2 и Enter..  До конца не понятно как можно с этим бороться при копировании больших массивов..
,,У меня значение в нехорошей ячейке преобразовывалось в нормальный тип когда нажимаешь по ней F2 и Enter..  До конца не понятно как можно с этим бороться при копировании больших массивов..,Ctrl+a + F4  после операции с F2 Enter
,,,"Вы же понимаете, что это несерьезно?)"
,,"Вы же понимаете, что это несерьезно?)",Возможно для решений этих проблем excel нужен отдельный робот по обработке таких ячеек)))
,,,"в эксел есть метод .calculate. надо попытаться найти метод через C#
ThisWorkbook.Worksheets(dName).Calculate
Remarks
All open workbooks  Application.Calculate
A specific worksheet  Worksheets(1).Calculate
A specified range  Worksheets(1).Rows(2).Calculate"
,,"в эксел есть метод .calculate. надо попытаться найти метод через C#
ThisWorkbook.Worksheets(dName).Calculate
Remarks
All open workbooks  Application.Calculate
A specific worksheet  Worksheets(1).Calculate
A specified range  Worksheets(1).Rows(2).Calculate","Это тоже самое что F9, который не работает.
но попробую"
,"в эксел есть метод .calculate. надо попытаться найти метод через C#
ThisWorkbook.Worksheets(dName).Calculate
Remarks
All open workbooks  Application.Calculate
A specific worksheet  Worksheets(1).Calculate
A specified range  Worksheets(1).Rows(2).Calculate","Это тоже самое что F9, который не работает.
но попробую","можно еще чекнуть метод 
Application.ScreenUpdating = False
Application.ScreenUpdating = True"
"в эксел есть метод .calculate. надо попытаться найти метод через C#
ThisWorkbook.Worksheets(dName).Calculate
Remarks
All open workbooks  Application.Calculate
A specific worksheet  Worksheets(1).Calculate
A specified range  Worksheets(1).Rows(2).Calculate","Это тоже самое что F9, который не работает.
но попробую","можно еще чекнуть метод 
Application.ScreenUpdating = False
Application.ScreenUpdating = True","Можно в чате PIX ещё переспросить, может есть какое-то изящное решение, о котором мы не догпдались.
А в противном случае, ребята, хотя бы возьмут на карандаш, что приходится выбирать лучший из костылей."
,,,Скорость не страдает?
,,Скорость не страдает?,"Смотря что и как делать
Бездумно и при стандартной активности скорость будет страдать
Запуск и закрытие excel доли секунды
Считывание и запись диапазона из 40000 ячеек тоже практически мгновенные
Больше всего времени занимает сама обработка данных на C# (секунд 7)"
,,,"Объём обработки данных большой.
Придумал легенду как объяснить создание листа для проекта.
Всем поучаствовавшим в обсуждении спасибо)
работа с диапазоном не подходит из-за специфики формата.
записывать нужно каждую ячейку в отдельности"
,,"Объём обработки данных большой.
Придумал легенду как объяснить создание листа для проекта.
Всем поучаствовавшим в обсуждении спасибо)
работа с диапазоном не подходит из-за специфики формата.
записывать нужно каждую ячейку в отдельности",Кто еще потренить презентацию заходите в дискорд.
,"Объём обработки данных большой.
Придумал легенду как объяснить создание листа для проекта.
Всем поучаствовавшим в обсуждении спасибо)
работа с диапазоном не подходит из-за специфики формата.
записывать нужно каждую ячейку в отдельности",Кто еще потренить презентацию заходите в дискорд.,"Всем привет! Признавайтесь, кто положил Мастера?
Я не успел записать работу робота"
"Объём обработки данных большой.
Придумал легенду как объяснить создание листа для проекта.
Всем поучаствовавшим в обсуждении спасибо)
работа с диапазоном не подходит из-за специфики формата.
записывать нужно каждую ячейку в отдельности",Кто еще потренить презентацию заходите в дискорд.,"Всем привет! Признавайтесь, кто положил Мастера?
Я не успел записать работу робота",Я тоже.
,,,Вот посоветовали посмотреть
,,Вот посоветовали посмотреть,помогло уже?
,,,"Заработал
не по-этому :)"
,,"Заработал
не по-этому :)",Заработал вроде
,"Заработал
не по-этому :)",Заработал вроде,"кто-то его ребутнул, наверное"
"Заработал
не по-этому :)",Заработал вроде,"кто-то его ребутнул, наверное",процесс пока не хочет почту мониторить
Заработал вроде,"кто-то его ребутнул, наверное",процесс пока не хочет почту мониторить,"у меня второй агент свободен будет, решил без него сделать, можно его использовать"
"кто-то его ребутнул, наверное",процесс пока не хочет почту мониторить,"у меня второй агент свободен будет, решил без него сделать, можно его использовать",отлично
,,,"Всем доброго дня! Подскажите, а на сегодня есть какой-то примерный порядок выступлений?"
,,"Всем доброго дня! Подскажите, а на сегодня есть какой-то примерный порядок выступлений?",не сообщали такого
,,,Ни пуха!
,,Ни пуха!,к черту 😈
,Ни пуха!,к черту 😈,Следующий выступает кто?
Ни пуха!,к черту 😈,Следующий выступает кто?,Вадим Захаров
к черту 😈,Следующий выступает кто?,Вадим Захаров,"На завтра заполняем таблицу и делаем резюме, в PDF направляем наставнику"
Следующий выступает кто?,Вадим Захаров,"На завтра заполняем таблицу и делаем резюме, в PDF направляем наставнику",а есть ссылка на него?
Вадим Захаров,"На завтра заполняем таблицу и делаем резюме, в PDF направляем наставнику",а есть ссылка на него?,Вот неплохое резюме
"На завтра заполняем таблицу и делаем резюме, в PDF направляем наставнику",а есть ссылка на него?,Вот неплохое резюме,"Подписывайтесь на две группы:
1. Вакансии и информация о кандидатах.
2. Новости для RPA проф."
а есть ссылка на него?,Вот неплохое резюме,"Подписывайтесь на две группы:
1. Вакансии и информация о кандидатах.
2. Новости для RPA проф.",Похоже нужно подожждать немного у меня вот только что пришло сообщение
,,,"Попробуйте его создать, а потом уже через редактирование после подтверждения загрузить туда все"
,,"Попробуйте его создать, а потом уже через редактирование после подтверждения загрузить туда все","Понял свою ошибку - я пытался залить файлы PDF  ( в котором пришли сертификаты) в портфолио, где ожидались только графические форматы JPG и тп"
,,,"Я делал так
но сертификаты пока не пробовал добавлять"
,,"Я делал так
но сертификаты пока не пробовал добавлять","Хорошо, пока добавляю сами записи о прохождении курсов - там есть отдельная активность по этому
Только везде указываю место проведения курсов - ""Академии RPA-разработчиков"", даже в случае курсов по PIX, Sherpa и PRIMO, хотя некоторые сертификаты имеют подпись руководителей RPA платформ."
,,,"На HH добавляют ссылку на сертификат, сам сертификат висит на файлообменнике, например на яндекс.Диск"
,,"На HH добавляют ссылку на сертификат, сам сертификат висит на файлообменнике, например на яндекс.Диск",А сертификаты уже всем отправили?
,,,"Нет, у вечерней группы вчера не направляли, сегодня на занятии направлю"
,,"Нет, у вечерней группы вчера не направляли, сегодня на занятии направлю",Ок
,"Нет, у вечерней группы вчера не направляли, сегодня на занятии направлю",Ок,"я получил сразу после завершения демонстрации диплома
а сегодня что - должно быть занятие? я смотрел в 15 часов - было пусто в дискорде"
,,,"да, сегодня должны резюме показывать"
,,"да, сегодня должны резюме показывать",А когда занятие?
,,,т.е. дневная группа подходит вместе с вечерней?
,,т.е. дневная группа подходит вместе с вечерней?,"Дневная группа собираемся в 17 - 00 по Мск! Жду вас.
Вечерняя группа как обычно в 19 - 00 по Мск Ждем вас.
🩸из носу."
,,,ВОПРОС: можно ли наши выпускные и домашние работы залить на репозиторий?
,,ВОПРОС: можно ли наши выпускные и домашние работы залить на репозиторий?,Озвучишь вопрос в 17 00 на встрече
,,,или это конфиденциальный материал
,,или это конфиденциальный материал,Я что-то пропустил?
,,,заходи в дискорд :)
,,заходи в дискорд :),Попробую через мобильный...
,,,"Кто вчера пропустил встречу по разбору резюме, присоединяйтесь сегодня в 19 - 00 по Мск 🤓"
,,,"Господа еще 4 не сбросили мне резюме новые😕
(Ярослав Кустол)"
,,"Господа еще 4 не сбросили мне резюме новые😕
(Ярослав Кустол)",можно ссылкой на ХХ?
,"Господа еще 4 не сбросили мне резюме новые😕
(Ярослав Кустол)",можно ссылкой на ХХ?,там можно с хх сохранить в пдф формате
,,,нет в pdf это для группы с работодателями
,,,"Кто хочет попробовать свои силы в наставничестве, приходите в субботу на тестирование новых разработчиков."
,,,"А зачем ещё один чат?
Можно тут все вести"
,,"А зачем ещё один чат?
Можно тут все вести","Я предположил, что эту группу вскоре переименуют в ""Август"", судя по сообщению от Сергея и тут будет следующий курс."
,"А зачем ещё один чат?
Можно тут все вести","Я предположил, что эту группу вскоре переименуют в ""Август"", судя по сообщению от Сергея и тут будет следующий курс.",я так же подумал 😃
